"parents","n","labels","id"
"Denmark",1,"Music","Denmark  -  Music"
"Denmark",1,"Musical","Denmark  -  Musical"
"Denmark",50,"Mystery","Denmark  -  Mystery"
"Denmark",24,"Reality TV","Denmark  -  Reality TV"
"Denmark",83,"Romance","Denmark  -  Romance"
"Denmark",18,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",10,"Sport","Denmark  -  Sport"
"Denmark",7,"Talk Show","Denmark  -  Talk Show"
"Denmark",58,"Thriller","Denmark  -  Thriller"
"Denmark",11,"War","Denmark  -  War"
"Denmark",4,"Western","Denmark  -  Western"
"Dominican Republic",188,"Action","Dominican Republic  -  Action"
"Dominican Republic",4,"Adult","Dominican Republic  -  Adult"
"Dominican Republic",116,"Adventure","Dominican Republic  -  Adventure"
"Dominican Republic",49,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",3,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",154,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",110,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",12,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",276,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",19,"Family","Dominican Republic  -  Family"
"Dominican Republic",35,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Film Noir","Dominican Republic  -  Film Noir"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",5,"History","Dominican Republic  -  History"
"Dominican Republic",33,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",31,"Music","Dominican Republic  -  Music"
"Dominican Republic",1,"Musical","Dominican Republic  -  Musical"
"Dominican Republic",46,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",83,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",27,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",2,"Short","Dominican Republic  -  Short"
"Dominican Republic",5,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",5,"Talk Show","Dominican Republic  -  Talk Show"
"Dominican Republic",77,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",3,"War","Dominican Republic  -  War"
"Ecuador",157,"Action","Ecuador  -  Action"
"Ecuador",4,"Adult","Ecuador  -  Adult"
"Ecuador",124,"Adventure","Ecuador  -  Adventure"
"Ecuador",70,"Animation","Ecuador  -  Animation"
"Ecuador",1,"Biography","Ecuador  -  Biography"
"Ecuador",200,"Comedy","Ecuador  -  Comedy"
"Ecuador",81,"Crime","Ecuador  -  Crime"
"Ecuador",12,"Documentary","Ecuador  -  Documentary"
"Ecuador",271,"Drama","Ecuador  -  Drama"
"Ecuador",18,"Family","Ecuador  -  Family"
"Ecuador",26,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",2,"Film Noir","Ecuador  -  Film Noir"
"Ecuador",2,"History","Ecuador  -  History"
"Ecuador",33,"Horror","Ecuador  -  Horror"
"Ecuador",30,"Music","Ecuador  -  Music"
"Ecuador",1,"Musical","Ecuador  -  Musical"
"Ecuador",41,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",102,"Romance","Ecuador  -  Romance"
"Ecuador",24,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",6,"Sport","Ecuador  -  Sport"
"Ecuador",5,"Talk Show","Ecuador  -  Talk Show"
"Ecuador",64,"Thriller","Ecuador  -  Thriller"
"Ecuador",3,"War","Ecuador  -  War"
"Egypt",209,"Action","Egypt  -  Action"
"Egypt",3,"Adult","Egypt  -  Adult"
"Egypt",113,"Adventure","Egypt  -  Adventure"
"Egypt",54,"Animation","Egypt  -  Animation"
"Egypt",11,"Biography","Egypt  -  Biography"
"Egypt",183,"Comedy","Egypt  -  Comedy"
"Egypt",109,"Crime","Egypt  -  Crime"
"Egypt",13,"Documentary","Egypt  -  Documentary"
"Egypt",313,"Drama","Egypt  -  Drama"
"Egypt",17,"Family","Egypt  -  Family"
"Egypt",38,"Fantasy","Egypt  -  Fantasy"
"Egypt",4,"Film Noir","Egypt  -  Film Noir"
"Egypt",4,"Game Show","Egypt  -  Game Show"
"Egypt",7,"History","Egypt  -  History"
"Egypt",32,"Horror","Egypt  -  Horror"
