"id","n","label","parent"
"total  -  Romance  -  Dominican Republic",83,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",77,"Dominican Republic","total  -  Thriller"
"total  -  Action  -  Ecuador",157,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",124,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",70,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",200,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",81,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",271,"Ecuador","total  -  Drama"
"total  -  Horror  -  Ecuador",33,"Ecuador","total  -  Horror"
"total  -  Mystery  -  Ecuador",41,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",102,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",64,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",209,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",113,"Egypt","total  -  Adventure"
"total  -  Animation  -  Egypt",54,"Egypt","total  -  Animation"
"total  -  Comedy  -  Egypt",183,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",109,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",313,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",38,"Egypt","total  -  Fantasy"
"total  -  Mystery  -  Egypt",49,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",87,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",65,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",149,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",110,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",64,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",184,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",99,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",286,"El Salvador","total  -  Drama"
"total  -  Horror  -  El Salvador",30,"El Salvador","total  -  Horror"
"total  -  Mystery  -  El Salvador",39,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",106,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",63,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",192,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",128,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",60,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",199,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",113,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",258,"Estonia","total  -  Drama"
"total  -  Mystery  -  Estonia",60,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",75,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",51,"Estonia","total  -  Sci Fi"
"total  -  Thriller  -  Estonia",49,"Estonia","total  -  Thriller"
"total  -  Action  -  Finland",201,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",119,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",59,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",168,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",136,"Finland","total  -  Crime"
"total  -  Drama  -  Finland",320,"Finland","total  -  Drama"
"total  -  Fantasy  -  Finland",38,"Finland","total  -  Fantasy"
"total  -  Mystery  -  Finland",52,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",73,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",58,"Finland","total  -  Thriller"
"total  -  Action  -  France",208,"France","total  -  Action"
"total  -  Adventure  -  France",136,"France","total  -  Adventure"
"total  -  Animation  -  France",51,"France","total  -  Animation"
"total  -  Comedy  -  France",155,"France","total  -  Comedy"
"total  -  Crime  -  France",140,"France","total  -  Crime"
"total  -  Drama  -  France",335,"France","total  -  Drama"
"total  -  Fantasy  -  France",57,"France","total  -  Fantasy"
"total  -  Mystery  -  France",52,"France","total  -  Mystery"
"total  -  Romance  -  France",78,"France","total  -  Romance"
"total  -  Thriller  -  France",78,"France","total  -  Thriller"
"total  -  Action  -  Germany",216,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",152,"Germany","total  -  Adventure"
"total  -  Comedy  -  Germany",175,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",144,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",305,"Germany","total  -  Drama"
"total  -  Family  -  Germany",54,"Germany","total  -  Family"
"total  -  Fantasy  -  Germany",67,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",56,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",77,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",73,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",197,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",126,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",55,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",171,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",133,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",322,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",47,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",60,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",93,"Greece","total  -  Romance"
"total  -  Thriller  -  Greece",48,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",222,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",112,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",46,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",165,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",137,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",339,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",49,"Guadeloupe","total  -  Fantasy"
"total  -  Mystery  -  Guadeloupe",45,"Guadeloupe","total  -  Mystery"
"total  -  Romance  -  Guadeloupe",87,"Guadeloupe","total  -  Romance"
"total  -  Thriller  -  Guadeloupe",70,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",133,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",109,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",64,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",198,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",90,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",294,"Guatemala","total  -  Drama"
"total  -  Horror  -  Guatemala",30,"Guatemala","total  -  Horror"
